"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0861739","Thu Aug 14 16:20:52 2014","Thu Aug 14 16:20:52 2014","","Οι επίλεκτοι","Feature Film","José Padilha","","8.1","115","2007","action, crime, drama, thriller","84189","2007-08-17","http://www.imdb.com/title/tt0861739/"
"2","tt0093105","Fri Aug 22 08:07:44 2014","Fri Aug 22 08:07:44 2014","","Καλημέρα Βιετνάμ","Feature Film","Barry Levinson","","7.3","121","1987","biography, comedy, drama, war","102583","1987-12-23","http://www.imdb.com/title/tt0093105/"
"3","tt1682181","Fri Aug 22 08:28:35 2014","Fri Aug 22 08:28:35 2014","","Bully","Documentary","Lee Hirsch","","7.4","98","2011","documentary","9069","2011-04-23","http://www.imdb.com/title/tt1682181/"
"4","tt0259711","Tue Aug 26 04:17:20 2014","Tue Aug 26 04:17:20 2014","","Vanilla Sky","Feature Film","Cameron Crowe","","6.9","136","2001","fantasy, mystery, romance, sci_fi, thriller","212056","2001-12-10","http://www.imdb.com/title/tt0259711/"
"5","tt1971325","Tue Aug 26 16:26:41 2014","Tue Aug 26 16:26:41 2014","","Automata","Feature Film","Gabe Ibáñez","","6.1","109","2014","action, sci_fi, thriller","44240","2014-09-20","http://www.imdb.com/title/tt1971325/"
"6","tt0100594","Thu Aug 28 15:37:44 2014","Thu Aug 28 15:37:44 2014","","Τσάι στη Σαχάρα","Feature Film","Bernardo Bertolucci","","6.8","138","1990","adventure, drama","8992","1990-10-25","http://www.imdb.com/title/tt0100594/"
"7","tt0083987","Thu Aug 28 15:40:17 2014","Thu Aug 28 15:40:17 2014","","Γκάντι","Feature Film","Richard Attenborough","","8.1","191","1982","biography, drama, history","179050","1982-11-30","http://www.imdb.com/title/tt0083987/"
"8","tt0081283","Mon Sep  1 13:55:45 2014","Mon Sep  1 13:55:45 2014","","Συνηθισμένοι άνθρωποι","Feature Film","Robert Redford","","7.8","124","1980","drama","36355","1980-09-19","http://www.imdb.com/title/tt0081283/"
"9","tt0185937","Tue Sep  2 11:36:24 2014","Tue Sep  2 11:36:24 2014","","The Blair Witch Project","Feature Film","Daniel Myrick, Eduardo Sanchez","","6.4","81","1999","drama, horror, mystery","196435","1999-01-25","http://www.imdb.com/title/tt0185937/"
"10","tt0435625","Tue Sep  2 11:37:33 2014","Tue Sep  2 11:37:33 2014","","Η Κάθοδος","Feature Film","Neil Marshall","","7.2","99","2005","adventure, horror, thriller","161085","2005-03-11","http://www.imdb.com/title/tt0435625/"
"11","tt0337721","Sun Sep  7 16:28:52 2014","Sun Sep  7 16:28:52 2014","","The Snow Walker","Feature Film","Charles Martin Smith","","7.4","103","2003","adventure, drama","8675","2003-09-11","http://www.imdb.com/title/tt0337721/"
"12","tt1403865","Sun Sep  7 16:31:06 2014","Sun Sep  7 16:31:06 2014","","Αληθινό θράσος","Feature Film","Ethan Coen, Joel Coen","","7.7","110","2010","adventure, drama, western","250100","2010-12-14","http://www.imdb.com/title/tt1403865/"
"13","tt0427312","Mon Sep 15 11:45:08 2014","Mon Sep 15 11:45:08 2014","","Grizzly Man","Documentary","Werner Herzog","","7.8","103","2005","documentary, biography","42865","2005-01-24","http://www.imdb.com/title/tt0427312/"
"14","tt1396557","Mon Sep 15 11:47:07 2014","Mon Sep 15 11:47:07 2014","","Winnebago Man","Documentary","Ben Steinbauer","","7.2","85","2009","documentary, biography, comedy","4074","2009-03-14","http://www.imdb.com/title/tt1396557/"
"15","tt0110057","Mon Sep 15 11:49:05 2014","Mon Sep 15 11:49:05 2014","","Hoop Dreams","Documentary","Steve James","","8.3","170","1994","documentary, drama, sport","19804","1994-01","http://www.imdb.com/title/tt0110057/"
"16","tt0077928","Sat Sep 20 15:48:55 2014","Sat Sep 20 15:48:55 2014","","Το εξπρές του μεσονυχτίου","Feature Film","Alan Parker","","7.7","121","1978","biography, crime, drama, thriller","56097","1978-05-18","http://www.imdb.com/title/tt0077928/"
